id,image_id,device_name,brand,release_date,form_factor,os_raw,gbc,nes,genesis,gba,snes,psx,nds,n64,dreamcast,psp,saturn,ngc,wii,n3ds,ps2,wiiu,switch,ps3,chipset,cpu_model,cpu_cores,cpu_threads,cpu_clock,cpu_arch,gpu_model,gpu_cores,gpu_clock,ram_gb,screen_size_inches,screen_type,resolution,ppi,aspect_ratio,screen_lens,battery_capacity,cooling_raw,has_cooling,dpad_raw,analogs_raw,has_l3_r3,has_hall_analogs,has_dual_analogs,has_analogs,face_buttons,shoulder_buttons_raw,has_analog_triggers,has_l2_r2,has_shoulder_buttons,extra_buttons_raw,charge_port_raw,storage_raw,has_dual_external_sd,connectivity_raw,has_lte,has_usb_otg,has_thunderbolt,has_bt,has_wifi,video_output_raw,has_video_output,audio_output_raw,has_audio_output,speaker_raw,has_rumble,sensors_raw,volume_desc,dimensions_mm,weight_g,shell_material,color_options,reviews,price_low,price_high,emulation_desc
UyERpd47,image_a00417ad5d805,My Mini,Game Console,2025-03-01,Vertical,Linux,5,5,5,5,5,5,4,3,3,3,2,1,1,1,1,1,1,1,RockChip RK3326,Cortex-A35,4 Cores,4 Threads,1.3 GHz - 1.5 GHz,ARM,Mali-G31 MP2,2 Cores,650 MHz,1 GB LPDDR4,3.5,IPS,640 x 480,228.57,4:3,Tempered Glass (OCA Laminated),4000 mAh (Swappable),,FALSE,Cross Upper placement,"Single thumbstick (L3, Hall) Lower placement",TRUE,TRUE,FALSE,TRUE,4 Buttons,"L1, R1, L2, R2 Horizontal, Shelf",FALSE,TRUE,TRUE,"Power, Reset, Volume +-",USB-C x2 Top & Bottom facing,"Internal 8 GB eMMC, Dual External MicroSD",TRUE,USB-C OTG,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,3.5mm Headphone Bottom facing,TRUE,Single Mono Front facing,FALSE,Hall sensor joystick,Dedicated Buttons,80 mm x 110 mm x 22 mm,,Plastic,"White, Transparent Black, Transparent Blue, Teal, Pink",https://www.youtube.com/watch?v=4Ydvasactyg,38,,"SNES FX & 3D PS1 (60 FPS), 2D PSP mostly playable but not 3D, N64 & Dreamcast mostly playable"
163bWzK4,image_73f2f90f7a176,GAMEMT E6 Max,GAMEMT,2025-03-01,Horizontal,Android 13 / Linux,5,5,5,5,5,5,5,5,4,4,3,2,2,2,2,1,1,1,Allwinner A527,Cortex-A55,8 Cores,8 Threads,1.4 GHz - 2.0 GHz,ARM,Mali-G57 MC1-2EE,2 Cores,600 - 950 MHz,4 GB,5,IPS Touchscreen,1280 x 720,293.72,16:9,Tempered Glass (OCA Laminated),5000 mAh,Fan Ventilation cutouts,TRUE,Disc Lower placement,"Dual thumbsticks (L3/R3, Hall) Upper placement",TRUE,TRUE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Vertical",FALSE,TRUE,TRUE,"Menu, Power, Volume +-",USB-C Top facing,"Internal 32 GB eMMC, External MicroSD",FALSE,"WiFi 6, Dual USB-C OTG",FALSE,TRUE,FALSE,FALSE,TRUE,Mini HDMI Top facing,TRUE,3.5mm Headphone Top facing,TRUE,Dual Stereo Rear facing,FALSE,Hall sensor joysticks,Dedicated Buttons,,,Plastic,"Black, White",,80,,"3D PS1, N64 (full speed), DC and PSP (mostly playable), Saturn (somewhat playable)"
QgIRsQvw,image_9e41c29b6e8bb,U8,Game Console,2025-03-01,Horizontal,Linux (EmuELEC 4.7),5,5,5,5,5,5,4,3,3,3,2,1,1,1,1,1,1,1,RockChip RK3326,Cortex-A35,4 Cores,4 Threads,1.3 GHz - 1.5 GHz,ARM,Mali-G31 MP2,2 Cores,650 MHz,1 GB LPDDR4,4,IPS,800 x 480,233.24,5:3,Tempered Glass (OCA Laminated),3500 mAh,,FALSE,Cross Upper placement,Dual thumbsticks (L3/R3) Lower placement,TRUE,FALSE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Horizontal",FALSE,TRUE,TRUE,"Function, Power, Reset, Volume +-",USB-C x2 Top & Bottom facing,Dual External MicroSD,TRUE,USB-OTG,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,3.5mm Headphone Bottom facing,TRUE,Dual Stereo Bottom facing,FALSE,❌,Dedicated Buttons,,,Plastic,"Black, Transparent Purple, White",https://www.youtube.com/watch?v=dLTSHGizXxY https://www.youtube.com/watch?v=do_GMEXEDdM&pp=ygULVTggaGFuZGhlbGQ%3D https://www.youtube.com/watch?v=qf4GwtcgJxg&pp=ygULVTggaGFuZGhlbGQ%3D,30,,"SNES FX & 3D PS1 (60 FPS), 2D PSP mostly playable but not 3D, N64 & Dreamcast mostly playable"
KAphAkrl,image_007aa1db93d96,QRD Vortex F5,QRD,2025-02-01,Horizontal,Linux,5,5,5,5,5,5,5,4,4,4,3,2,1,2,2,1,1,1,RockChip RK3566,Cortex-A55,4 Cores,4 Threads,1.8 GHz,ARM,Mali-G52 2EE,2 Cores,850 MHz,1 GB LPDDR4X,5.5,IPS,1280 x 720,267.02,16:9,Tempered Glass (OCA Laminated),5000 mAh,Ventilation cutouts,TRUE,Cross Lower placement,Dual thumbsticks (L3/R3 / Hall) Left: Upper placement Right: Lower placement,TRUE,TRUE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Vertical",FALSE,TRUE,TRUE,"Home/Back, Power, Volume +-",USB-C x2 Bottom facing,"Internal 8 GB eMMC, External MicroSD",FALSE,"Bluetooth, USB-C OTG",FALSE,TRUE,FALSE,TRUE,FALSE,Mini HDMI Top facing,TRUE,3.5mm Headphone Bottom facing,TRUE,Single Mono Top facing,FALSE,Hall effect joysticks,Dedicated Buttons,223 mm x 103 mm x 35 mm,330,Plastic,Black,https://www.youtube.com/watch?v=t88WBZ7ZXeY,90,,"N64, PSP & Dreamcast playable but not all at full speed"
EguP7ftG,image_b421865435541,BATLEXP G350,BATLEXP,2025-02-01,Vertical,Linux,5,5,5,5,5,5,4,3,3,3,2,1,1,1,1,1,1,1,RockChip RK3326,Cortex-A35,4 Cores,4 Threads,1.3 GHz - 1.5 GHz,ARM,Mali-G31 MP2,2 Cores,650 MHz,1 GB LPDDR3,3.5,IPS,640 x 480,228.57,4:3,Tempered Glass (OCA Laminated),3200 mAh,,FALSE,Cross Upper placement,Dual thumbsticks (L3/R3) Lower placement,TRUE,FALSE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Horizontal, Shelf",FALSE,TRUE,TRUE,"Menu, Power, Reset, Volume +-",USB-C Top facing,Dual External MicroSD,TRUE,USB-C OTG,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,3.5mm Headphone Top facing,TRUE,Single Mono Bottom facing,TRUE,❌,Dedicated Buttons,81 mm x 128 mm x 22 mm,191,Plastic,"Gray, Transparent Black, Transparent Red",https://www.youtube.com/watch?v=bZIBRqGz0Gg https://www.youtube.com/watch?v=Jz2ih8XwtCU https://www.youtube.com/watch?v=YKmQPCU2S0g,50,,"SNES FX & 3D PS1 (60 FPS), 2D PSP mostly playable but not 3D, N64 & Dreamcast mostly playable"
wsfLgDcC,image_a8ede8396d2b6,GPD Win Mini 2025,Game Pad Digital,2025-02-01,Clamshell,Windows 11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,AMD Ryzen AI 9 HX370,AMD Zen 5,12 Cores,24 Threads,2.0 GHz - 5.1 GHz,x86-64,AMD Radeon 890M,16 Cores,2.9 GHz,16 GB / 32 GB / 64 GB LPDDR5X (7500 MT/s),7,LTPS Touchscreen,1920 x 1080,319.26,16:9,Corning Gorilla Glass (OCA Laminated),44.24 Wh,Heatpipe Fan Ventilation cutouts,TRUE,Cross Upper placement,Dual thumbsticks (L3/R3 / Hall) Upper placement,TRUE,TRUE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Vertical Analog Triggers",TRUE,TRUE,TRUE,"L4/R4 programmable buttons, Menu, Power, Reset, Full QWERTY Keyboard, Mouse/Gamepad switch",USB-C x2 Top facing,"Internal 1 TB / 2 TB M.2 2280 SSD, External MicroSD",FALSE,"WiFi 6E, Bluetooth 5.3, USB-A",FALSE,FALSE,FALSE,TRUE,TRUE,USB-C video out Top facing,TRUE,3.5mm Headphone Top facing,TRUE,Dual Stereo Bottom facing,TRUE,"Gyroscope, Hall effect joysticks and triggers",Dedicated Buttons,172 mm x 109 mm x 26.8 - 31.7 mm,555,Plastic & Aluminum,Black,https://www.youtube.com/watch?v=WrS_OlZZZ5M https://www.youtube.com/watch?v=ZA5uSwMi6S4 https://www.youtube.com/watch?v=NhFhRq4VJVM https://www.youtube.com/watch?v=NsZeuHFHgY0,769,1426,"Gamecube, Wii, 3DS, PS2, Wii U, Switch almost all full speed"
AQsRiYmd,image_7a0f6acd8615d,V20,PowKiddy,2025-02-01,Vertical,Linux (EmuELEC),5,5,5,5,5,5,5,4,4,4,3,2,1,1,1,1,1,1,Allwinner A133 Plus,Cortex-A53,4 Cores,4 Threads,1.8 GHz - 2.0 GHz,ARM,PowerVR GE8300,1 Core,660 MHz,1 GB DDR3,3.5,IPS,640 x 480,228.57,4:3,Tempered Glass (OCA Laminated),5000 mAh,,FALSE,Cross Upper placement,Dual thumbsticks with L3/R3 Lower placement,TRUE,FALSE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Horizontal, Shelf",FALSE,TRUE,TRUE,"Power, Reset, Volume +-",USB-C Bottom facing,Dual External MicroSD,TRUE,USB-C OTG,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,3.5mm Headphone Bottom facing,TRUE,Single Mono Front facing,,❌,Dedicated Buttons,85.3 mm x 133 mm x 23 - 27 mm,,Plastic,"Yellow, White, Transparent Black",https://www.youtube.com/watch?v=j1nJP0akFDk https://www.youtube.com/shorts/5SiVMh9fG_8,55,,"N64, PSP & Dreamcast playable but not all at full speed"
DfoAYcLK,image_7d453f5f4fa98,RX6H,Game Console,2025-02-01,Horizontal,Linux (EmuELEC / ArkOS),5,5,5,5,5,5,4,3,3,3,2,1,1,1,1,1,1,1,RockChip RK3326,Cortex-A35,4 Cores,4 Threads,1.3 GHz - 1.5 GHz,ARM,Mali-G31 MP2,2 Cores,650 MHz,1 GB DDR3L,3.5,IPS,640 x 480,228.57,4:3,Tempered Glass,3000 mAh,,FALSE,Disc Lower placement,Dual thumbsticks (L3/R3) Left: Upper placement Right: Lower placement,TRUE,FALSE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Vertical",FALSE,TRUE,TRUE,"Power, Reset, Volume +-",USB-C,Internal & External MicroSD,FALSE,"WiFi 5, Bluetooth 4.2, USB-C OTG",FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE,3.5mm Headphone,TRUE,Dual Stereo Rear facing,FALSE,❌,Dedicated Buttons,,,Plastic,"Transparent Purple, Transparent Black, White",https://www.youtube.com/watch?v=YBN1avPOj9E https://www.youtube.com/watch?v=VfS0VlxSxVM,40,,"SNES FX & 3D PS1 (60 FPS), 2D PSP mostly playable but not 3D, N64 & Dreamcast mostly playable"
YswLDTSG,image_e4d865c72467d,Legion Go S,Lenovo,2025-02-01,Horizontal,Linux (Steam OS) / Windows 11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,AMD Ryzen Z2 Go,AMD Zen 3+,4 Cores,8 Threads,3.0 GHz - 4.3 GHz,x86-64,AMD Radeon 680M,12 Cores,2.2 GHz,16 GB / 32 GB LPDDR5,8,IPS Touchscreen,1920 x 1200,283.02,16:10,Tempered Glass (OCA Laminated),55 Wh,Heatsink Fan Ventilation cutouts,TRUE,Disc Lower placement,"Dual thumbsticks (L3/R3, Hall) Left: Upper placement Right: Lower placement",TRUE,TRUE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Vertical Analog Triggers",TRUE,TRUE,TRUE,"Trackpad, Power, Volume +-, 2 back buttons",USB-C x2 Top facing,"Internal 512 GB / 1 TB M.2 2242 SSD (Support for 2280), External MicroSD",FALSE,"WiFi 6E, Bluetooth 5.3, USB 4 x2",FALSE,FALSE,FALSE,TRUE,TRUE,USB-C video out Top facing,TRUE,3.5mm Headphone Top facing,TRUE,Dual Stereo Front facing,TRUE,Optical mouse sensor,Dedicated Buttons,299 mm x 127 mm x 23 mm,727,Plastic,"White, Black",https://www.youtube.com/watch?v=sKgIrs4QBvc https://www.youtube.com/watch?v=pngX_8HmwAQ https://www.youtube.com/watch?v=h7rspPi_9JA https://www.youtube.com/watch?v=mZijgtWrZNU https://www.youtube.com/watch?v=CWzKg2bTTDY https://www.youtube.com/watch?v=CDM1bPiY9tQ https://www.youtube.com/watch?v=PfQCgt2wa2Q https://www.youtube.com/watch?v=j1D8Zgwan_I,499,729,"Smooth Gamecube, Wii, PS2"
sUfdmpr9,image_9d3aa6094f60c,GKD Pixel 2,Game Kiddy,2025-02-01,Vertical,Linux (IUX 2.5/Rocknix),5,5,5,5,5,5,4,3,3,3,2,1,1,1,1,1,1,1,RockChip RK3326S,Cortex-A35,4 Cores,4 Threads,1.3 GHz - 1.5 GHz,ARM,Mali-G31 MP2,2 Cores,650 MHz,1 GB DDR3,2.4,IPS,640 x 480,333.33,4:3,Tempered Glass (OCA Laminated),1800 mAh,,FALSE,Cross Upper placement,,FALSE,FALSE,FALSE,FALSE,4 Buttons,"L1, R1, L2, R2 Horizontal",FALSE,TRUE,TRUE,"Power, Volume +-",USB-C Bottom facing,External MicroSD,FALSE,❌,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,3.5mm Headphone Bottom facing,TRUE,Single Mono Bottom facing,TRUE,❌,Dedicated Buttons,62 mm x 81 mm x 17 mm,,Metal (Aluminum),"Green, Red, Purple, Black",https://www.youtube.com/watch?v=X1OAPuLEnAU https://www.youtube.com/watch?v=d9-ffe9cxEY,80,,
hjvRr3UM,image_5a986e46f522b,MSI Claw 8 AI+,MSI,2025-02-01,Horizontal,Windows 11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Intel Core Ultra 7 258V,Intel Lunar Lake,8 Cores,8 Threads,2.2 GHz - 4.8 GHz,x86-64,Intel Arc 140V,8 Cores,1.95 GHz,32 GB LPDDR5X (8533 MHz),8,IPS Touchscreen,1920 x 1200,283.02,16:10,Tempered Glass (OCA Laminated),80 Wh,"Dual fans, dual heat pipes",TRUE,Disc Lower placement,Dual thumbsticks with L3/R3 Left: Upper placement Right: Lower placement,TRUE,FALSE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Vertical Analog Triggers",TRUE,TRUE,TRUE,"View, MSI Center M, Menu, Quick Settings, Macro 1/2, Fingerprint/Power, Volume +-",USB-C x2 Top facing,"Internal 1 TB M.2 NVMe 4.0 SSD, External MicroSD",FALSE,"WiFi 7, Bluetooth 5.4, 2x Thunderbolt 4",FALSE,FALSE,TRUE,TRUE,TRUE,USB-C video out Top facing,TRUE,3.5mm Headphone Top facing,TRUE,Dual Stereo Front facing,TRUE,"Fingerprint reader, Hall effect joysticks and triggers",Dedicated Buttons,299 mm x 126 mm x 24 mm,795,Plastic,Sandstorm,https://www.youtube.com/watch?v=QpojYjj6hqY https://www.youtube.com/watch?v=vYElJMB_nIo https://www.youtube.com/watch?v=ie5-8DRBv5c https://www.youtube.com/watch?v=5T6ZvpZNZT4 https://www.youtube.com/watch?v=7qmbImjdntc https://www.youtube.com/watch?v=g-osMxWdYbM https://www.youtube.com/watch?v=J4oHhZUuTlE https://www.youtube.com/watch?v=ZCVseSk8w6E https://www.youtube.com/watch?v=aOSVpeSwZAA https://www.youtube.com/watch?v=MqssMyuDqho,900,,"Gamecube, Wii, 3DS, PS2 fully playable"
5lyKARo6,image_72c1e56ac69dc,MSI Claw 7 AI+,MSI,2025-02-01,Horizontal,Windows 11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Intel Core Ultra 7 258V,Intel Lunar Lake,8 Cores,8 Threads,2.2 GHz - 4.8 GHz,x86-64,Intel Arc 140V,8 Cores,1.95 GHz,32 GB LPDDR5X (8533 MHz),7,IPS Touchscreen,1920 x 1080,314.7,16:9,Tempered Glass (OCA Laminated),53 Wh,"Dual fans, dual heat pipes",TRUE,Disc Lower placement,Dual thumbsticks with L3/R3 Left: Upper placement Right: Lower placement,TRUE,FALSE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Vertical Analog Triggers",TRUE,TRUE,TRUE,"View, MSI Center M, Menu, Quick Settings, Macro 1/2, Fingerprint/Power, Volume +-",USB-C x2 Top facing,"Internal 512 GB M.2 NVMe 4.0 SSD, External MicroSD",FALSE,"WiFi 7, Bluetooth 5.4, 2x Thunderbolt 4",FALSE,FALSE,TRUE,TRUE,TRUE,USB-C video out Top facing,TRUE,3.5mm Headphone Top facing,TRUE,Dual Stereo Front facing,TRUE,"Fingerprint reader, Hall effect joysticks and triggers",Dedicated Buttons,290 mm x 117 mm x 21.2 mm,675,Plastic,Black,https://www.youtube.com/watch?v=vYElJMB_nIo https://www.youtube.com/watch?v=JhfR9_FGqEg https://www.youtube.com/watch?v=DFRMxbsC8S8 https://www.youtube.com/watch?v=XgKZpgFqgz0,800,,"Gamecube, Wii, 3DS, PS2 fully playable"
CyQSzRjD,image_a74afb1e26c8,Z35S / HG3506,Raypodo,2025-01-01,Vertical,Linux (EmuELEC/ArkOS),5,5,5,5,5,5,4,3,3,3,2,1,1,1,1,1,1,1,RockChip RK3326,Cortex-A35,4 Cores,4 Threads,1.3 GHz - 1.5 GHz,ARM,Mali-G31 MP2,2 Cores,650 MHz,1 GB DDR3,3.5,IPS,640 x 480,228.57,4:3,Tempered Glass (OCA Laminated),3000 mAh,,FALSE,Disc Upper placement,Dual thumbsticks (L3/R3) Lower placement,TRUE,FALSE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2",FALSE,TRUE,TRUE,"Power, Function, Volume +-",USB-C,Internal & External MicroSD,FALSE,USB-C OTG,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,3.5mm Headphone,TRUE,Mono Front facing,,❌,Dedicated Buttons,91 mm x 131.3 mm x 38.4 mm,,Plastic,"Orange, Black, Transparent Black, Transparent Purple",https://www.youtube.com/watch?v=ngp_nkBg7Oc,40,,"SNES FX & 3D PS1 (60 FPS), 2D PSP mostly playable but not 3D, N64 & Dreamcast mostly playable"
kNIf96ZH,image_494b673980274,OneXPlayer X1 Pro,One Netbook,2025-01-01,Horizontal,Windows 11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,AMD Ryzen AI 9 HX370,AMD Zen 5,12 Cores,24 Threads,2.0 GHz - 5.1 GHz,x86-64,AMD Radeon 890M,16 Cores,2.9 GHz,32 GB / 64 GB LPDDR5x (7500 MT/s),10.95,LTPS Touchscreen,2560 x 1600,275.7,16:10,Tempered Glass (OCA Laminated),65 Wh (16890 mAh),"Heatsink, Fan, Ventilation cutouts",TRUE,Cross Lower placement,Dual thumbsticks (L3/R3 / Hall) Left: Upper placement Right: Lower placement,TRUE,TRUE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Vertical Analog Triggers",TRUE,TRUE,TRUE,"Power/Fingerprint reader, Volume +-, 4 Programmable buttons",USB-C Top facing,"Internal 1 TB / 2 TB / 4 TB SSD, External MicroSD",FALSE,"USB-A, WiFi, Bluetooth 5.2",FALSE,FALSE,FALSE,TRUE,TRUE,"OcuLink, USB-C video out Top facing",TRUE,3.5mm Headphone Top facing,TRUE,Dual Stereo Bottom facing,,Gyroscope,Dedicated Buttons,252 mm x 163 mm x 13 - ? mm,789,Plastic,Black,https://www.youtube.com/watch?v=hj1CWvnGkJI https://www.youtube.com/watch?v=bJaJc1_EpJI,1359,1759,
rrasGnZF,image_769dbd3138ac,Mini Zero 28,MagicX,2025-01-01,Horizontal,Android 10 / Linux,5,5,5,5,5,5,5,4,4,4,3,2,1,1,1,1,1,1,Allwinner A133 Plus,Cortex-A53,4 Cores,4 Threads,1.8 GHz,ARM,PowerVR GE8300,1 Core,660 MHz,2 GB DDR4,2.8,IPS,640 x 480,285.71,4:3,Tempered Glass (OCA Laminated),2900 mAh,Heatsink Ventilation cutout,TRUE,Cross Upper placement,"Dual thumbsticks (L3/R3, Hall) Lower placement",TRUE,TRUE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Horizontal",FALSE,TRUE,TRUE,"G (Function), Power, Reset, Volume +-",USB-C x2 Top facing,Dual External MicroSD,TRUE,WiFi 4,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,3.5mm Headphone Bottom facing,TRUE,Dual Stereo Bottom facing,FALSE,❌,Dedicated Buttons,130.5 mm x 65.1 mm x 19 mm,120,Plastic,"Black, Transparent Glacier, Transparent Purple",https://www.youtube.com/watch?v=eXAziPF9YS0 https://www.youtube.com/watch?v=cxP7Td-LDG4 https://www.youtube.com/watch?v=frThODvCaqQ https://www.youtube.com/watch?v=3w8F6UIbU8U,59,,"N64, PSP & Dreamcast playable but not all at full speed"
WQ6Gplyr,image_0ec048622d1b3,Odin 2 Portal,AYN Technologies,2025-01-01,Horizontal,Android 13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,Qualcomm Snapdragon 8 Gen 2,Cortex-X3 / Cortex-A715 / Cortex-A710 / Cortex-A510,8 Cores,8 Threads,2.0 GHz - 3.2 GHz,ARM,Qualcomm Adreno 740,,680 MHz,8 GB / 12 GB / 16 GB,7,AMOLED Touchscreen,1920 x 1080,314.7,16:9,Tempered Glass (OCA Laminated),8000 mAh,Heatsink Fan Ventilation cutouts,TRUE,Cross Lower placement,"Dual thumbsticks (L3/R3, Hall) Left: Upper placement Right: Lower placement",TRUE,TRUE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Vertical Analog Triggers",TRUE,TRUE,TRUE,"Home, Back, Power, Volume +-, 2 rear programmable buttons",USB-C Bottom facing,"Internal 128 GB / 512 GB / 1 TB, External MicroSD",FALSE,"WiFi 7, Bluetooth 5.3",FALSE,FALSE,FALSE,TRUE,TRUE,USB-C video out Bottom facing,TRUE,3.5mm Headphone Bottom facing,TRUE,Dual Stereo Front facing,,Hall sensor joysticks and triggers,Dedicated Buttons,257 mm x 98.6 mm x 17.2 mm,430,Plastic,"Black, White, Indigo",https://www.youtube.com/watch?v=woyGOWwPhfU https://www.youtube.com/watch?v=MEFTtYJ2Iss https://www.youtube.com/watch?v=DTCGlq3gBTM https://www.youtube.com/watch?v=EQ9pitgQzVQ https://www.youtube.com/watch?v=zVX3VtzRct4 https://www.youtube.com/watch?v=dSWtLggCpUU https://www.youtube.com/watch?v=jr-cL01mzmE https://www.youtube.com/watch?v=L7l2D2T-njU https://www.youtube.com/watch?v=KjfHoLnbel8,299,529,"Gamecube, Wii, 3DS, PS2 fully playable, most Wii U and Switch playable"
vscKw4HL,image_4548447a2b1a,X35H,PowKiddy,2025-01-01,Horizontal,Linux,5,5,5,5,5,5,5,4,4,4,3,2,1,2,2,1,1,1,RockChip RK3566,Cortex-A55,4 Cores,4 Threads,2.0 GHz,ARM,Mali-G52 2EE,2 Cores,850 MHz,1 GB LPDDR4X,3.5,IPS,640 x 480,228.57,4:3,Tempered Glass (OCA Laminated),3000 mAh,,FALSE,Cross Upper placement,Dual thumbsticks (L3/R3) Lower placement,TRUE,FALSE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Horizontal",FALSE,TRUE,TRUE,"Power, Reset, Volume +-",USB-C x2 Top & Bottom facing,Dual External MicroSD,TRUE,Bluetooth,FALSE,FALSE,FALSE,TRUE,FALSE,Mini HDMI Top facing,TRUE,3.5mm Headphone Bottom facing,TRUE,Dual Stereo Bottom facing,,❌,Dedicated Buttons,150 mm x 77 mm x 24 mm,181,Plastic,"Transparent Blue, Transparent Black, Orange, White",https://www.youtube.com/watch?v=qroBr2kS0mQ,60,,"N64, PSP & Dreamcast mostly playable but not all full speed"
Kyj6UeBG,image_0e89128a02768,R36H,Game Console,2025-01-01,Horizontal,Linux (ArkOS),5,5,5,5,5,5,4,3,3,3,2,1,1,1,1,1,1,1,RockChip RK3326,Cortex-A35,4 Cores,4 Threads,1.3 GHz - 1.5 GHz,ARM,Mali-G31 MP2,2 Cores,650 MHz,1 GB DDR3L,3.5,IPS,640 x 480,228.57,4:3,Tempered Glass,3000 mAh,,FALSE,Cross Lower placement,Dual thumbsticks (L3/R3) Left: Upper placement Right: Lower placement,TRUE,FALSE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Horizontal",FALSE,TRUE,TRUE,"Power, Reset, Volume +-",USB-C,Dual External MicroSD,TRUE,USB-C OTG,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,3.5mm Headphone,TRUE,,FALSE,❌,Dedicated Buttons,,186,Plastic,"Transparent Purple, Transparent Black, White",https://www.youtube.com/watch?v=QjC9_kRksYs https://www.youtube.com/watch?v=Aut8-FtQNt0 https://www.youtube.com/watch?v=cpWU0EE7IaM,38,,
Wz7wvcfO,image_ad3863cdf221b,Miyoo Flip,Miyoo / Bittboy,2024-12-01,Clamshell,Linux (Tina),5,5,5,5,5,5,5,4,4,4,3,2,1,2,2,1,1,1,RockChip RK3566,Cortex-A55,4 Cores,4 Threads,2.0 GHz,ARM,Mali-G52 2EE,2 Cores,850 MHz,1 GB LPDDR4,3.5,IPS,640 x 480,228.57,4:3,Tempered Glass (OCA Laminated),3000 mAh,,FALSE,Cross Upper placement,Dual thumbsticks (L3/R3) Lower placement,TRUE,FALSE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Horizontal",FALSE,TRUE,TRUE,"Menu, Power, Reset, Volume +-",USB-C x2 Top & Bottom facing,"Internal 128 MB, Dual External MicroSD",TRUE,WiFi 5,FALSE,FALSE,FALSE,FALSE,TRUE,Mini HDMI Top facing,TRUE,3.5mm Headphone Bottom facing,TRUE,Single Mono Front facing,TRUE,❌,Dedicated Buttons,82 mm x 80 mm x 20 mm,165,Plastic,"Yellow, White, Black, Gray",https://www.youtube.com/watch?v=-I_zp9A8NZ8 https://www.youtube.com/watch?v=DG1EEhOrPWs https://www.youtube.com/watch?v=M10MOTxxbsQ https://www.youtube.com/watch?v=nVgCvilpb80&pp=ygUKbWl5b28gZmxpcA%3D%3D https://www.youtube.com/watch?v=fs7cPm2q5Tw,78,,"N64, PSP & Dreamcast mostly playable but not all full speed"
jWxUGnte,image_8c7aaa5f9715d,GPD Win 4 2025,Game Pad Digital,2024-12-01,Horizontal,Windows 11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,AMD Ryzen AI 9 HX370,AMD Zen 5,12 Cores,24 Threads,2.0 GHz - 5.1 GHz,x86-64,AMD Radeon 890M,16 Cores,2.9 GHz,32 GB LPDDR5X,6,IPS Touchscreen,1920 x 1080,367.15,16:9,Gorilla Glass (OCA Laminated),45.62 Wh,Heatsink Fan Ventilation cutouts,TRUE,Cross Lower placement,Dual thumbsticks with L3/R3 Left: Upper placement Right: Lower placement,TRUE,FALSE,TRUE,TRUE,4 Buttons,"L1, R1, L2, R2 Vertical Analog Triggers",TRUE,TRUE,TRUE,"Power, Volume +-, 2 rear function buttons, QWERTY keyboard (physical keys), Mouse/Gamepad switch, Fingerprint reader, Optical Mouse sensor",USB-C x2 Top & Bottom facing,"Internal 1 TB / 2 TB M.2 2280 NVMe SSD, External MicroSD",FALSE,"WiFi 6, Bluetooth 5.2, 4G LTE (optional), USB-A, OcuLink",TRUE,FALSE,FALSE,TRUE,TRUE,USB-C video out Top facing,TRUE,3.5mm Headphone Top facing,TRUE,Dual Stereo Front facing,,"Gyroscope, Fingerprint reader, Optical Mouse sensor, Microphone",Dedicated Buttons,220 mm x 92 mm x ? mm,566,Plastic,"Black, White",https://www.youtube.com/watch?v=EudjvGSp11A,1173,,"Gamecube, Wii, 3DS, PS2, Wii U, Switch almost all full speed"
